                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      39                  9.8201911226807981E-001                  1.3440230986088757E+000                  3.6366576159500061E+000                 -7.8743063606897366E+000                  3.5576371794877817E+000                  6.7865041387349356E-001                  3.0127511122483974E-001                  2.0074474901666695E-002 
                                      40                  9.8201909520786046E-001                  1.3439989038897122E+000                  3.6379739370932738E+000                 -7.8693093944701662E+000                  3.5639546641694264E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      41                  9.8201908367236901E-001                  1.3439827292109934E+000                  3.6394441905413411E+000                 -7.8638655898836003E+000                  3.5708734072874875E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      42                  9.8201906341437895E-001                  1.3439546736821988E+000                  3.6410696467389112E+000                 -7.8580412706222216E+000                  3.5783284157386253E+000                  6.7865041387349345E-001                  3.0127511122483980E-001                  2.0074474901666806E-002 
                                      43                  9.8201904885191560E-001                  1.3439347713225882E+000                  3.6423037250710606E+000                 -7.8537327296284341E+000                  3.5838750306349425E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      44                  9.8201903712180372E-001                  1.3439188962032400E+000                  3.6439736360162152E+000                 -7.8480365977667645E+000                  3.5912464692229782E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      45                  9.8201901339057440E-001                  1.3438871924763043E+000                  3.6460110163217174E+000                 -7.8413206651603407E+000                  3.6000063267851070E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      46                  9.8201899420365879E-001                  1.3438619480946628E+000                  3.6473840581820900E+000                 -7.8369199056500820E+000                  3.6057844746525349E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      47                  9.8201898461020098E-001                  1.3438494515313510E+000                  3.6485376946730628E+000                 -7.8332858116059443E+000                  3.6105757893193635E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      48                  9.8201897004926098E-001                  1.3438306402791909E+000                  3.6504027942453479E+000                 -7.8275345004088788E+000                  3.6181978155592671E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      49                  9.8201894563873326E-001                  1.3437995138675309E+000                  3.6520488059585339E+000                 -7.8225911944398590E+000                  3.6247918241359756E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      50                  9.8201893578763644E-001                  1.3437870928124347E+000                  3.6534757290576985E+000                 -7.8183799772151374E+000                  3.6304337370150837E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      51                  9.8201891591167156E-001                  1.3437622702409333E+000                  3.6551469031141059E+000                 -7.8135439046384425E+000                  3.6369449569090655E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      52                  9.8201890100469813E-001                  1.3437438567210327E+000                  3.6574365939195781E+000                 -7.8070546330826742E+000                  3.6457283538956093E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      53                  9.8201886816496586E-001                  1.3437038856999586E+000                  3.6597438314483761E+000                 -7.8006770109830912E+000                  3.6544161891105573E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      54                  9.8201885283565005E-001                  1.3436854958440121E+000                  3.6612120316503383E+000                 -7.7966888801775127E+000                  3.6598734815010032E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      55                  9.8201883741615426E-001                  1.3436671645684812E+000                  3.6628100016265517E+000                 -7.7924069131434113E+000                  3.6657536593105076E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      56                  9.8201881927445256E-001                  1.3436458057071416E+000                  3.6649072771608338E+000                 -7.7868735597926300E+000                  3.6733835000345247E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
