                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      70                  7.5289486432019825E-001                  2.2377387365749466E+000                  3.5438566793992186E+000                 -8.3509169597088935E+000                  2.9874911098483410E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      71                  7.5287012025545574E-001                  2.2375194746293570E+000                  3.5472077605500196E+000                 -8.3459155414023520E+000                  2.9959388439044545E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      72                  7.5284440967482913E-001                  2.2372939105590102E+000                  3.5504756751725131E+000                 -8.3415519048405891E+000                  3.0036550422516677E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      73                  7.5282326506426311E-001                  2.2371099992987382E+000                  3.5527854448360947E+000                 -8.3387478044396968E+000                  3.0088242991256657E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      74                  7.5281260444213294E-001                  2.2370177843582710E+000                  3.5553711309694802E+000                 -8.3357748487098497E+000                  3.0144408441073232E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      75                  7.5278830515000250E-001                  2.2368088108859316E+000                  3.5581361932005091E+000                 -8.3329401353236552E+000                  3.0200985711037243E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      76                  7.5277699555426958E-001                  2.2367120792590822E+000                  3.5606373066700487E+000                 -8.3305286823220115E+000                  3.0250601049901826E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      77                  7.5275672160287765E-001                  2.2365394746671696E+000                  3.5633784542726747E+000                 -8.3281511231828595E+000                  3.0302291506069747E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      78                  7.5274375700376683E-001                  2.2364295945231896E+000                  3.5657991139804825E+000                 -8.3262017273266213E+000                  3.0346406037083811E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      79                  7.5272806855071461E-001                  2.2362971132809815E+000                  3.5678598369270231E+000                 -8.3246859114079701E+000                  3.0382501243068671E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
